query,actual_destination,dspy_prediction,dspy_correct,dspy_response_time,zeroshot_prediction,zeroshot_correct,zeroshot_response_time,both_correct,both_wrong,dspy_better,zeroshot_better
"Geocode 'Buckingham Palace, London'.",search_google_maps,search_google_maps,True,0.9198389053344727,search_google_maps,True,0.8168418407440186,True,False,False,False
The project.,unknown,unknown,True,0.9254868030548096,unknown,True,0.30124902725219727,True,False,False,False
Increase the stock quantity for product 'Mega Gadget' by 25 units.,search_sqlite,search_sqlite,True,1.0239040851593018,search_sqlite,True,0.5123074054718018,True,False,False,False
Did I interact with the 'list_notifications' tool on GitHub today?,search_knowledge_base,search_github,False,0.7204899787902832,search_github,False,0.7133779525756836,False,True,False,False
"Search for 'pharmacies' near 'Union Station, Washington D.C.'.",search_google_maps,search_google_maps,True,0.7225399017333984,search_google_maps,True,0.5080001354217529,True,False,False,False
What was the address I used with the 'maps_reverse_geocode' tool on Friday?,search_knowledge_base,unknown,False,0.8496861457824707,search_google_maps,False,0.7347137928009033,False,True,False,False
Best lasagna recipe.,search_internet,search_internet,True,1.2889978885650635,search_internet,True,0.4121990203857422,True,False,False,False
"If I want to learn about astrophysics, where should I start?",general_ai_response,general_ai_response,True,1.0712459087371826,general_ai_response,True,0.6591300964355469,True,False,False,False
Address this.,unknown,unknown,True,0.7213301658630371,unknown,True,0.38346385955810547,True,False,False,False
Search my interaction history for the phrase 'API rate limits'.,search_knowledge_base,search_knowledge_base,True,0.6943490505218506,search_knowledge_base,True,0.8663120269775391,True,False,False,False
Have I logged any 'business insights' using the SQLite MCP this quarter?,search_knowledge_base,search_sqlite,False,0.687079906463623,search_sqlite,False,0.6948411464691162,False,True,False,False
Find repos matching 'data-visualization' sorted by stars.,search_github,search_github,True,0.8691868782043457,search_github,True,0.4098958969116211,True,False,False,False
Write a therapy session transcript where the patient is the concept of Time.,general_ai_response,general_ai_response,True,0.7174630165100098,general_ai_response,True,0.5288739204406738,True,False,False,False
Is there a Confluence page about 'Disaster Recovery Plan'?,search_atlassian,search_atlassian,True,0.7688488960266113,search_atlassian,True,0.7252821922302246,True,False,False,False
"If dreams were an alternative energy source, how would we harvest them?",general_ai_response,general_ai_response,True,0.6414139270782471,general_ai_response,True,1.124946117401123,True,False,False,False
Draft an email to a client to upsell a new service.,email_assistant,email_assistant,True,0.7705590724945068,email_assistant,True,0.4560067653656006,True,False,False,False
Top-rated TV shows on Netflix.,search_internet,search_internet,True,0.5936529636383057,search_internet,True,0.3218080997467041,True,False,False,False
Add a comment to issue #15 in 'my-org/mobile-app': 'I can take a look at this'.,search_github,search_github,True,0.7079348564147949,search_github,True,1.1773321628570557,True,False,False,False
"If buildings had emotions, what would a skyscraper feel on a windy day?",general_ai_response,general_ai_response,True,0.8310239315032959,general_ai_response,True,0.3618922233581543,True,False,False,False
What are some famous thought experiments in philosophy?,general_ai_response,general_ai_response,True,0.7864320278167725,general_ai_response,True,1.3890466690063477,True,False,False,False
Remove order ID 808 from the database.,search_sqlite,search_sqlite,True,1.0302839279174805,search_sqlite,True,0.6846730709075928,True,False,False,False
How do solar panels work?,general_ai_response,general_ai_response,True,0.8116497993469238,general_ai_response,True,0.44588327407836914,True,False,False,False
Remove employee 'Tom Thumb' who has left the company.,search_sqlite,search_sqlite,True,1.2044010162353516,search_sqlite,True,0.6793398857116699,True,False,False,False
"If mirrors are portals to another dimension, what's on the other side?",general_ai_response,general_ai_response,True,0.8559248447418213,general_ai_response,True,1.4622979164123535,True,False,False,False
What was the result when I tried to 'describe-table UserSessions' in SQLite?,search_knowledge_base,search_sqlite,False,0.6897320747375488,search_sqlite,False,0.5059351921081543,False,True,False,False
Imagine a world where emotions have colors that everyone can see. How would this change social interactions?,general_ai_response,general_ai_response,True,1.0094389915466309,general_ai_response,True,0.633124828338623,True,False,False,False
How to approach this?,unknown,unknown,True,0.5123956203460693,unknown,True,0.6115031242370605,True,False,False,False
What is the history of the internet?,general_ai_response,general_ai_response,True,1.2289209365844727,general_ai_response,True,0.4916379451751709,True,False,False,False
